id,titulo_oficial,unidades_extraccion,n_sujetos_catalogo,titulo_introduce_sujeto_nuevo,sujeto_del_titulo,n_candidatos_sujeto_nuevo,sujetos_catalogo_top5
actgar,Afectación de activos en garantía,60,12,False,,0,Sujeto_entidad_financiera; Sujeto_banco; Sujeto_bcra; Sujeto_sefyc; Sujeto_deudor
adfsp,Adelantos del Banco Central a las entidades financieras con destino a financiaciones al sector productivo,101,7,False,banco central a las,2,Sujeto_banco; Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_cliente; Sujeto_deudor
adrei,Agregación de datos sobre riesgos y elaboración de informes.,70,7,False,,0,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_banco; Sujeto_persona_juridica; Sujeto_contraparte
afiltr,Asistencia financiera por iliquidez transitoria,70,13,False,,1,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_fideicomiso; Sujeto_deudor
apnf,Proveedores no financieros de crédito.,27,10,False,proveedores no financieros de credito,0,Sujeto_proveedor_no_financiero_de_credito; Sujeto_entidad_financiera; Sujeto_sujeto; Sujeto_bcra; Sujeto_sefyc
asomut,Asociaciones mutuales. Reglamentación de su actividad financiera (Decreto 1367/93),0,0,False,,0,
autenf,Autoridades de entidades financieras,75,7,False,autoridades de entidades financieras,2,Sujeto_entidad_financiera; Sujeto_bcra; Sujeto_sefyc; Sujeto_sujeto; Sujeto_banco
ayccef,Autorización y composición del capital de entidades financieras.,196,14,False,entidades financieras,1,Sujeto_entidad_financiera; Sujeto_sefyc; Sujeto_bcra; Sujeto_persona_juridica; Sujeto_banco
cajasc,Cajas de Crédito Cooperativas (Ley 26.173),289,17,False,cajas de credito cooperativas,4,Sujeto_deudor; Sujeto_caja_de_credito; Sujeto_entidad_financiera; Sujeto_caja_de_credito_cooperativa; Sujeto_bcra
cateloc,Categorización de localidades para entidades financieras,2,3,False,entidades financieras,0,Sujeto_banco; Sujeto_entidad_financiera; Sujeto_bcra
ccbcra,Cuentas corrientes y otras cuentas a la vista de las entidades financieras y cambiarias en el Banco Central de la República Argentina,32,11,False,entidades financieras y cambiarias,0,Sujeto_bcra; Sujeto_entidad_financiera; Sujeto_banco; Sujeto_organismo_publico; Sujeto_caja_de_credito
cedin,Certificados de depósitos para la inversión,0,0,False,,0,
ceninf,Centrales de información,0,0,False,,0,
