id,categoria,titulo_oficial,archivo_oficial,url_pdf
adfsp,normativa_general,Adelantos del Banco Central a las entidades financieras con destino a financiaciones al sector productivo,t-adfsp.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-adfsp.pdf
actgar,normativa_general,Afectación de activos en garantía,t-actgar.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-actgar.pdf
adrei,normativa_general,Agregación de datos sobre riesgos y elaboración de informes.,t-adrei.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-adrei.pdf
seggar,normativa_general,Aplicación del sistema de seguro de garantía de depósitos.,t-seggar.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-seggar.pdf
afiltr,normativa_general,Asistencia financiera por iliquidez transitoria,t-afiltr.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-afiltr.pdf
asomut,normativa_general,Asociaciones mutuales. Reglamentación de su actividad financiera (Decreto 1367/93),t-asomut.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-asomut.pdf
autenf,normativa_general,Autoridades de entidades financieras,t-autenf.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-autenf.pdf
ayccef,normativa_general,Autorización y composición del capital de entidades financieras.,t-ayccef.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ayccef.pdf
cajasc,normativa_general,Cajas de Crédito Cooperativas (Ley 26.173),t-cajasc.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cajasc.pdf
inspag,normativa_general,Características de los instrumentos de pago que emiten las entidades financieras,t-inspag.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-inspag.pdf
cateloc,normativa_general,Categorización de localidades para entidades financieras,t-cateloc.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cateloc.pdf
cryl,normativa_general,"Central de registro y liquidación de instrumentos de deuda pública, regulación monetaria y fideicomisos financieros (CRyL).",t-cryl.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cryl.pdf
ceninf,normativa_general,Centrales de información,t-ceninf.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ceninf.pdf
cedin,normativa_general,Certificados de depósitos para la inversión,t-cedin.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cedin.pdf
cescar,normativa_general,Cesión de cartera de créditos,t-cescar.PDF,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cescar.PDF
cirmo3,normativa_general,Circulación monetaria,t-cirmo3.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-cirmo3.pdf
coltit,normativa_general,Colocación de títulos valores de deuda y obtención de líneas de crédito del exterior,t-coltit.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-coltit.pdf
icmecma,normativa_general,Comunicación por medios electrónicos para el cuidado del medio ambiente,t-icmecma.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-icmecma.pdf
convca,normativa_general,Conversión cambiaria,t-convca.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-convca.pdf
ctavis,normativa_general,Cuentas a la vista abiertas en las cajas de crédito cooperativas,t-ctavis.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ctavis.pdf
ccbcra,normativa_general,Cuentas corrientes y otras cuentas a la vista de las entidades financieras y cambiarias en el Banco Central de la República Argentina,t-ccbcra.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ccbcra.pdf
ctacor,normativa_general,Cuentas de corresponsalía,t-ctacor.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ctacor.pdf
