id,categoria,titulo_oficial,paginas,paginas_cuerpo,secciones,chunks_terminales,mini_chunks,unidades_extraccion,chars_propio_total,usd_e1,usd_e3,usd_total,veredicto
lingeef,normativa_general,Lineamientos para la gestión de riesgos en las entidades financieras,172,161,12,503,110,613,378116,4.3293,7.5862,11.9155,digerible
snp_cheq,normativa_general,Sistema Nacional de Pagos - Cheques y otros instrumentos compensables,159,150,8,189,351,540,209908,3.8137,6.6828,10.4965,necesita reglas
depaho,normativa_general,"Depósitos de ahorro, cuenta sueldo y especiales",107,80,5,386,51,437,182553,3.0863,5.4081,8.4944,digerible
ctacte,normativa_general,Reglamentación de la cuenta corriente bancaria,86,60,13,336,52,388,128836,2.7402,4.8017,7.5419,digerible
cajasc,normativa_general,Cajas de Crédito Cooperativas (Ley 26.173),68,58,11,256,33,289,123478,2.0411,3.5765,5.6176,digerible
ctavis,normativa_general,Cuentas a la vista abiertas en las cajas de crédito cooperativas,54,43,11,238,37,275,87636,1.9422,3.4033,5.3454,digerible
rdbcra,normativa_general,Régimen disciplinario a cargo del Banco Central de la República Argentina (Leyes 21.526 y 25.065) y tramitación de sumarios cambiarios (Ley 19.359),54,46,11,218,43,261,87653,1.8433,3.23,5.0733,digerible
cirmo3,normativa_general,Circulación monetaria,107,92,6,215,25,240,206045,1.695,2.9701,4.6651,necesita reglas
depinv,normativa_general,Depósitos e inversiones a plazo,53,32,4,186,16,202,64241,1.4266,2.4998,3.9265,digerible
ayccef,normativa_general,Autorización y composición del capital de entidades financieras.,47,33,7,169,27,196,72576,1.3842,2.4256,3.8098,digerible
expaef,normativa_general,Expansión de entidades financieras,37,24,11,142,23,165,41830,1.1653,2.042,3.2073,digerible
pimf,normativa_general,Principios para las infraestructuras del mercado financiero.,29,25,5,140,25,165,55268,1.1653,2.042,3.2073,digerible
lingob,normativa_general,Lineamientos para el gobierno societario en entidades financieras.,24,19,8,118,21,139,42322,0.9817,1.7202,2.7019,digerible
snp_tr_nc,normativa_general,Sistema Nacional de Pagos - Transferencias - Normas complementarias.,31,24,6,131,5,136,50150,0.9605,1.6831,2.6436,digerible
ratiofn,normativa_general,Ratio de fondeo neto estable.,29,24,7,125,8,133,45971,0.9393,1.6459,2.5852,digerible
ratio,normativa_general,Ratio de cobertura de liquidez,46,39,9,112,20,132,84940,0.9322,1.6336,2.5658,necesita reglas
finsec,normativa_general,Financiamiento al sector público no financiero,62,35,9,113,18,131,79156,0.9252,1.6212,2.5464,digerible
snp_spd,normativa_general,Sistema Nacional de Pagos - Servicios de pago.,32,23,9,104,25,129,41985,0.9111,1.5964,2.5075,digerible
efemin,normativa_general,Efectivo mínimo,53,30,7,97,24,121,59263,0.8546,1.4974,2.352,digerible
snp_cec,normativa_general,Sistema Nacional de Pagos - Cámaras electrónicas de compensación,34,27,9,107,14,121,54316,0.8546,1.4974,2.352,digerible
gerc,normativa_general,Grandes exposiciones al riesgo de crédito.,46,35,6,96,18,114,73866,0.8051,1.4108,2.2159,digerible
garant,normativa_general,Garantías,25,15,4,93,11,104,30508,0.7345,1.287,2.0215,necesita reglas
adfsp,normativa_general,Adelantos del Banco Central a las entidades financieras con destino a financiaciones al sector productivo,41,35,7,96,5,101,65980,0.7133,1.2499,1.9632,digerible
graloc,normativa_general,Gestión de riesgos asociados a la liquidación de operaciones de cambio,30,24,8,76,24,100,52022,0.7062,1.2375,1.9438,digerible
jafip,normativa_general,Disposiciones judiciales originadas en juicios entablados por ARCA,31,24,11,80,11,91,41433,0.6427,1.1262,1.7689,necesita reglas
snp_tr,normativa_general,Sistema Nacional de Pagos - Transferencias.,62,53,4,79,10,89,84181,0.6286,1.1014,1.73,necesita reglas
snp_psp,normativa_general,Proveedores de servicios de pago,23,17,7,76,12,88,34447,0.6215,1.089,1.7105,digerible
repefe,normativa_general,Representantes de entidades financieras del exterior no autorizadas para operar  en el país,25,18,9,77,10,87,28603,0.6144,1.0767,1.6911,digerible
opefci,normativa_general,"Operaciones al contado a liquidar y a término, pases, cauciones, otros derivados y con fondos comunes de inversión.",33,18,8,71,6,77,25079,0.5438,0.9529,1.4967,digerible
rrci,normativa_general,Lineamientos para la respuesta y recuperación ante ciberincidentes (RRCI),20,16,3,66,11,77,35677,0.5438,0.9529,1.4967,digerible
autenf,normativa_general,Autoridades de entidades financieras,25,15,7,63,12,75,31954,0.5297,0.9282,1.4578,digerible
inspag,normativa_general,Características de los instrumentos de pago que emiten las entidades financieras,60,51,3,64,11,75,58696,0.5297,0.9282,1.4578,necesita reglas
adrei,normativa_general,Agregación de datos sobre riesgos y elaboración de informes.,19,15,5,49,21,70,30121,0.4944,0.8663,1.3607,digerible
afiltr,normativa_general,Asistencia financiera por iliquidez transitoria,40,31,4,56,14,70,72632,0.4944,0.8663,1.3607,digerible
snp_debin,normativa_general,Sistema Nacional de Pagos - Débito Inmediato,22,17,6,65,5,70,30615,0.4944,0.8663,1.3607,digerible
gracre,normativa_general,Graduación del crédito,28,17,8,61,6,67,23234,0.4732,0.8292,1.3023,digerible
supcon,normativa_general,Supervisión consolidada,21,13,6,54,13,67,19652,0.4732,0.8292,1.3023,digerible
tasint,normativa_general,Tasas de interés en las operaciones de crédito,29,16,7,61,6,67,25976,0.4732,0.8292,1.3023,digerible
ordcom,normativa_general,"Ordenamiento, emisión y  divulgación de Comunicaciones y Comunicados de Prensa",22,16,4,60,5,65,18297,0.4591,0.8044,1.2635,digerible
cryl,normativa_general,"Central de registro y liquidación de instrumentos de deuda pública, regulación monetaria y fideicomisos financieros (CRyL).",31,24,12,51,13,64,30904,0.452,0.792,1.244,digerible
polcre,normativa_general,Política de crédito,32,19,10,55,6,61,31450,0.4308,0.7549,1.1857,digerible
actgar,normativa_general,Afectación de activos en garantía,18,9,3,52,8,60,15165,0.4237,0.7425,1.1663,digerible
gescre,normativa_general,Gestión crediticia,35,23,6,57,2,59,47131,0.4167,0.7302,1.1468,digerible
opecam,normativa_general,Operadores de cambio.,32,23,7,53,3,56,36913,0.3955,0.693,1.0885,necesita reglas
snp_dd,normativa_general,Sistema Nacional de Pagos - Débitos Directos,68,63,6,46,7,53,84270,0.3743,0.6559,1.0302,necesita reglas
pagjub,normativa_general,Pago de beneficios de la seg. soc. por cuenta de la Adm. Nacional de la Seguridad Social (ANSES),16,10,3,43,9,52,17871,0.3672,0.6435,1.0108,digerible
pfmipyme,normativa_general,Plataformas para el financiamiento MiPyME,14,10,5,47,5,52,12480,0.3672,0.6435,1.0108,digerible
prevmi,normativa_general,Previsiones mínimas por riesgo de incobrabilidad,25,15,5,48,4,52,30174,0.3672,0.6435,1.0108,digerible
fimipyme,normativa_general,Linea de financiamiento para la inversion productiva de MiPyME,25,15,10,44,7,51,21760,0.3602,0.6311,0.9913,digerible
icmecma,normativa_general,Comunicación por medios electrónicos para el cuidado del medio ambiente,27,21,5,45,2,47,28427,0.3319,0.5816,0.9136,digerible
snp_mep,normativa_general,Sistema Nacional de Pagos - Medio electrónico de pagos (MEP),50,33,8,36,10,46,77339,0.3249,0.5693,0.8941,necesita reglas
ri2_ci,normativa_general,Normas mínimas sobre controles internos para casas y agencias de cambio,26,23,5,36,9,45,49818,0.3178,0.5569,0.8747,digerible
fabcra,normativa_general,Firmas Autorizadas ante el BCRA,19,15,3,35,7,42,28224,0.2966,0.5198,0.8164,digerible
garopt,normativa_general,Garantías por intermediación en operaciones entre terceros,15,8,2,36,5,41,10553,0.2896,0.5074,0.797,necesita reglas
raapal,normativa_general,Ratio de apalancamiento.,20,16,3,35,5,40,36856,0.2825,0.495,0.7775,digerible
retype,normativa_general,Pago de retiros y pensiones militares,13,7,4,34,6,40,7694,0.2825,0.495,0.7775,digerible
servco,normativa_general,Servicios complementarios de la actividad financiera y actividades permitidas.,14,6,3,37,3,40,12723,0.2825,0.495,0.7775,digerible
coltit,normativa_general,Colocación de títulos valores de deuda y obtención de líneas de crédito del exterior,13,6,2,37,2,39,9038,0.2754,0.4826,0.7581,digerible
disres,normativa_general,Distribución de resultados,22,13,7,31,7,38,23759,0.2684,0.4703,0.7386,digerible
relact,normativa_general,Relación para los activos inmovilizados y otros conceptos,20,10,6,38,0,38,13272,0.2684,0.4703,0.7386,digerible
ri_cc,regimen_informativo,RI para Cajas de Crédito - contable,118,68,6,30,3,33,74041,0.2331,0.4084,0.6415,necesita reglas
ccbcra,normativa_general,Cuentas corrientes y otras cuentas a la vista de las entidades financieras y cambiarias en el Banco Central de la República Argentina,19,7,4,30,2,32,11378,0.226,0.396,0.622,digerible
rmgcti,normativa_general,Requisitos mínimos para la gestión y control de los riesgos de tecnología y seguridad de la información,58,51,6,27,5,32,118907,0.226,0.396,0.622,necesita reglas
docvig,normativa_general,Documentos de identificación en vigencia,14,8,4,29,2,31,10515,0.2189,0.3836,0.6026,digerible
rmrtsd,normativa_general,Requisitos mínimos ges. y ctrol. tec. y seg. de la inf. asociados a los servicios financieros digitales.,20,16,5,25,6,31,28322,0.2189,0.3836,0.6026,digerible
lavdin,normativa_general,"Prevención del lavado de activos, del financiamiento del terrorismo y otras actividades ilícitas",19,6,4,25,4,29,10126,0.2048,0.3589,0.5637,digerible
fclef,normativa_general,Fideicomisos financieros comprendidos en la Ley de Entidades Financieras.,12,8,6,24,4,28,8318,0.1977,0.3465,0.5443,digerible
traval,normativa_general,Transportadoras de valores,15,10,5,22,6,28,14384,0.1977,0.3465,0.5443,digerible
apnf,normativa_general,Proveedores no financieros de crédito.,15,10,3,21,6,27,15786,0.1907,0.3341,0.5248,digerible
ri_rml,regimen_informativo,RI Cont. Mensual - Efectivo mínimo y aplicación de recursos,77,76,6,26,1,27,164451,0.1907,0.3341,0.5248,necesita reglas
incuca,normativa_general,Incumplimientos de capitales mínimos y relaciones técnicas. Criterios aplicables,12,6,3,23,0,23,10048,0.1624,0.2846,0.4471,digerible
pscpp,normativa_general,Proveedores de servicios de créditos entre particulares a través de plataformas.,10,6,3,19,3,22,11173,0.1554,0.2723,0.4276,digerible
secfin,normativa_general,Secreto financiero,10,5,4,17,5,22,6114,0.1554,0.2723,0.4276,digerible
cescar,normativa_general,Cesión de cartera de créditos,10,4,2,19,2,21,8135,0.1483,0.2599,0.4082,digerible
ctacor,normativa_general,Cuentas de corresponsalía,10,5,3,16,5,21,11268,0.1483,0.2599,0.4082,digerible
fgarcp,normativa_general,Fondos de garantía de carácter público,14,8,3,18,3,21,15784,0.1483,0.2599,0.4082,digerible
regpri,normativa_general,Régimen para facilitar la privatización de Bancos Prov. y Municipales y las fusiones y absorciones,10,6,2,17,2,19,10307,0.1342,0.2351,0.3693,necesita reglas
ri_pgn,regimen_informativo,RI Cont. Mensual - Posición Global Neta en Moneda Extranjera,19,18,7,16,3,19,29162,0.1342,0.2351,0.3693,necesita reglas
evacre,normativa_general,Evaluaciones crediticias,7,3,3,15,3,18,5349,0.1271,0.2228,0.3499,digerible
pognme,normativa_general,Posición global neta de moneda extranjera.,14,5,4,16,1,17,9542,0.1201,0.2104,0.3304,digerible
manori,normativa_general,Manuales de originación y administración de préstamos,99,91,4,12,4,16,184471,0.113,0.198,0.311,necesita reglas
snp_atm,normativa_general,Sistema Nacional de Pagos - Cajeros automáticos,8,4,3,14,2,16,5263,0.113,0.198,0.311,digerible
venliq,normativa_general,Ventanilla de liquidez del BCRA.,10,5,2,13,3,16,10007,0.113,0.198,0.311,necesita reglas
ri_gerc,regimen_informativo,RI Cont. Mensual - Grandes exposiciones al riesgo de crédito.,8,7,3,13,2,15,11333,0.1059,0.1856,0.2916,necesita reglas
convca,normativa_general,Conversión cambiaria,8,4,2,10,3,13,5557,0.0918,0.1609,0.2527,digerible
horari,normativa_general,Horario de las entidades financieras,13,8,3,13,0,13,15933,0.0918,0.1609,0.2527,necesita reglas
osapsa,normativa_general,Otros servicios y actividades prestados por sujetos alcanzados,12,5,5,12,0,12,8064,0.0847,0.1485,0.2333,digerible
socgar,normativa_general,Sociedades de garantía recíproca inscriptas en el Banco Central.,14,5,3,11,1,12,6511,0.0847,0.1485,0.2333,digerible
ri_ai,regimen_informativo,RI Cont. Mensual - Relación para los activos inmovilizados y otros conceptos,9,8,5,11,0,11,12224,0.0777,0.1361,0.2138,necesita reglas
cateloc,normativa_general,Categorización de localidades para entidades financieras,67,63,2,2,0,2,126961,0.0141,0.0248,0.0389,necesita reglas
asomut,normativa_general,Asociaciones mutuales. Reglamentación de su actividad financiera (Decreto 1367/93),7,3,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
cedin,normativa_general,Certificados de depósitos para la inversión,22,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ceninf,normativa_general,Centrales de información,23,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
consyr,normativa_general,"Instrumentación, conservación y reproducción de documentos",11,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
dmrd,normativa_general,Disciplina de Mercado - Requisitos mínimos de divulgación.,72,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
manual,regimen_informativo,RI - Manual de Cuentas vigente al 31/12/17.,2037,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
micemp,normativa_general,"Determinación de la condición de micro, pequeña o mediana empresa",8,1,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
nmaeef,normativa_general,Normas mínimas sobre auditorías externas para entidades financieras,69,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
nmcief,normativa_general,Normas mínimas sobre controles internos para entidades financieras,36,35,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
optico,normativa_general,Presentación de informaciones al BCRA,43,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
plandecuentas,regimen_informativo,RI - Plan de cuentas.,77,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
