orden,id,tipo,nota
1,EV2F-028,dato directo,c1 y c2 son los incisos a) y b) de 3.1
2,EV2F-031,dato directo,los cuatro conceptos (c1–c4) figuran en el cuadro 7.2.1
3,EV2F-032,dato directo,"c1–c5 salen del cuadro 9.2.1, incluida la desagregación por estado de la información"
4,EV2F-022,dato directo,"c1–c4 están en los tres párrafos de 6.11 (umbral 25 %, designación, 3 %, comunicación a la SEFyC)"
5,EV2F-030,dato directo,"c4 pide solo mencionar la reclasificación obligatoria, que 10.3 nombra al remitir a 7.3; no exige su contenido"
6,EV2F-002,dato directo,"c1–c4 corresponden a 5.10.1.1, 5.10.1.2, 5.10.2 y 5.10.3, subpuntos del ancla"
7,EV2F-020,dato directo,c5 (exclusión de gobiernos y bancos centrales) está en el último párrafo de 2.4; la remisión a 2.12.2 no hace falta desarrollarla
8,EV2F-039,dato directo,"c1–c4 están en los tres párrafos de 2.5, incluido el plazo de 30 días corridos"
9,EV2F-008,dato directo,"c1–c3 están en 10.6.2; c3 es la condición literal «requisitos generales previstos», sin exigir su contenido"
10,EV2F-015,dato directo,"c2–c4 son los subpuntos 3.13.1.1, 3.13.1.2 y 3.13.1.7 del ancla (incluido el plazo de 180 días para aportes desde el 21/04/25)"
11,EV2F-011,dato directo,c1 está en el encabezado de 5.8 y c2–c5 en 5.8.2.1 a 5.8.2.3 y el cierre de 5.8.2
12,EV2F-012,dato directo,"c1 pide solo que se apliquen las normas de deudas financieras, que 10.8 enuncia; no exige el contenido de 10.3.2/10.3.3"
13,EV2F-019,dato directo,"c1–c4 están en 4.2.1 (subpunto del ancla): neteo, α = 1,40, CR/EPF con o sin margen y el tope de la EAD"
14,EV2F-033,dato directo,"c1–c4 están en 12.4: primer guion (suspensión, excepción, marzo/24) y apartado a) de Ratio de apalancamiento (frecuencia trimestral)"
15,EV2F-021,dato directo,"c1–c5 están en 8.6, 8.6.1 y el cierre de 8.6 (valor de mercado y deducción de la RPC hasta la aprobación)"
16,EV2F-036,dato directo,"c3 pide solo la cláusula «de acuerdo a los tipos y funcionalidades», que está en 1.3; no exige la lista de sujetos de 1.1.2"
17,EV2F-026,dato directo,"c1–c4 corresponden a 3.5.1, 3.5.2 (incluido el plazo de la revisión) y 3.5.3"
18,EV2F-025,dato directo,"c1–c4 corresponden a 2.1.1, 2.1.3, 2.1.5.2 y 2.1.6"
19,EV2F-006,dato directo,c1–c4 están en los párrafos primero y tercero de 7.7
20,EV2F-014,dato directo,"c4 pide la regla «plazo del servicio + 15 días corridos», que 13.5 enuncia; no exige el plazo concreto de 13.2"
21,EV2F-040,dato directo,c1 y c2 son las dos partes de la única oración de 4.4
22,EV2F-007,dato directo,"c1–c5 corresponden a 13.3.1, 13.3.2, 13.3.3, 13.3.5 y 13.3.6"
23,EV2F-003,dato directo,c1–c4 están en los dos párrafos de 5.3; la remisión a 5.4 (identificación) no la pide ningún criterio
24,EV2F-004,dato directo,"c1–c4 corresponden a 2.6.1.1, 2.6.1.2, 2.6.2 y 2.6.2.1 (tope del 30 %)"
25,EV2F-013,dato directo,"c1–c4 corresponden a 3.17.1, 3.17.1.1, 3.17.1.4 y 3.17.2"
26,EV2F-034,dato directo,"c1–c5 son filas del cuadro 4.2.1, incluida la apertura total/específico/general del riesgo de tasa"
27,EV2F-017,dato directo,"c1–c5 corresponden a 5.2.1.1, 5.2.1.3, 5.2.1.4, 5.2.1.5 y 5.2.1.6"
28,EV2F-010,dato directo,c1–c4 están en los tres párrafos de 6.10
29,EV2F-024,dato directo,"c1–c4 corresponden a 2.11.1 i), 2.11.3, 2.11.3.1 y 2.11.3.2 iii)"
30,EV2F-005,dato directo,"c1–c5 corresponden al encabezado, 4.6.1.1, 4.6.1.2, 4.6.1.4 ii) y el cierre de 4.6.1 (concepto I09)"
31,EV2F-001,dato directo,c1–c4 están en la única oración de 6.11
32,EV2F-035,dato directo,c1 está en 5.2.1 (BIC calculado) y c2–c5 en el cuadro 5.2.2
33,EV2F-037,dato directo,c1–c4 son los cuatro guiones de 2.1 y c5 su párrafo final
34,EV2F-016,dato directo,c1–c4 están en los dos párrafos de 9.5
35,EV2F-023,dato directo,"c1–c5 corresponden a 8.3.2.1, 8.3.2.2, 8.3.2.3, 8.3.2.5 y 8.3.2.7"
36,EV2F-027,dato directo,c1–c4 están en la única oración de 6.1
37,EV2F-029,dato directo,c1 y c2 son las dos mitades de la única oración de 4.1
38,EV2F-009,dato directo,"c1–c5 corresponden a 5.7.1, 5.7.2, 5.7.3, 5.7.3.1 y 5.7.3.2"
39,EV2F-018,dato directo,c1 está en el encabezado de 6.5 y c2–c5 en 6.5.2
40,EV2F-038,dato directo,"c1–c4 corresponden a 2.4.1, 2.4.2 (incluido el hipervínculo único) y 2.4.3"
