orden,id,to,pregunta,ancla,criterios,texto_ancla,tipo,nota
1,EV2F-028,cla,¿Qué deben asegurar los procedimientos de análisis de cartera que desarrolle una entidad financiera para clasificar a sus deudores?,cla:3.1,Debe mencionar un análisis adecuado de la situación económica y financiera del deudor. | Debe mencionar la revisión periódica de las condiciones objetivas y subjetivas de todos los riesgos asumidos.,"[3.1] Procedimientos de análisis de cartera.
La entidad deberá desarrollar procedimientos de análisis de cartera que aseguren: a) un análi-
sis adecuado de la situación económica y financiera del deudor y b) una revisión periódica de
su situación en cuanto a las condiciones objetivas y subjetivas de todos los riesgos asumidos.",,
2,EV2F-031,ric,"En el régimen informativo de exigencia e integración de capitales mínimos, ¿qué conceptos comprende el cuadro de facilidades otorgadas por el BCRA?",ric:7.2,Debe incluir la disminución de la exigencia de capital mínimo por riesgo de crédito. | Debe incluir la disminución de la exigencia de capital mínimo por riesgo operacional. | Debe incluir el aumento de la integración de capital mínimo por riesgo de crédito. | Debe incluir la disminución del defecto de integración del capital mínimo por riesgo de mercado.,"[7.2] Modelo de información
Cuadro 7.2.1.
Código Concepto
60100000 Disminución de la exigencia de capital mínimo por riesgo de
crédito
60300000 Disminución de la exigencia de capital mínimo por riesgo de
mercado
60400000 Disminución de la exigencia de capital mínimo por riesgo
operacional
60500000 Aumento de la integración de capital mínimo por riesgo de
crédito
60700000 Aumento de la integración de capital mínimo por riesgo de
mercado.
60900000 Disminución del defecto de integración del capital mínimo por
riesgo de crédito y operacional
61100000 Disminución del defecto de integración del capital mínimo por
riesgo de mercado",,
3,EV2F-032,ric,¿Qué tipos de incrementos de exigencia por riesgo de crédito se informan en el régimen informativo mensual y cómo se desagrega cada uno según el estado de la información?,ric:9.2,"Debe incluir el incremento por exceso en la relación de activos inmovilizados. | Debe incluir el incremento por exceso en Grandes Exposiciones al Riesgo de Crédito. | Debe incluir el incremento por exceso en graduación del crédito. | Debe incluir el incremento por exceso en financiamiento al sector público no financiero. | Debe reflejar la desagregación por estado (en término, fuera de término, incumplimientos reiterados, determinado por la SEFyC).","[9.2] Modelo de Información

[9.2.1] Incrementos de exigencia
Código Concepto Importe
83100000 Incremento de la exigencia por riesgo de crédito por exceso en la relación
de activos inmovilizados. Información en término
83200000 Incremento de la exigencia por riesgo de crédito por exceso en la relación
de activos inmovilizados. Información fuera de término
83300000 Incremento de la exigencia por riesgo de crédito por exceso en la relación
de activos inmovilizados. Incumplimientos reiterados
83400000 Incremento de la exigencia por riesgo de crédito por exceso en la relación
de activos inmovilizados. Determinado por la SEFyC
83500000 Incremento de la exigencia por riesgo de crédito por exceso en Grandes
Exposiciones al Riesgo de Crédito. Información en término
83600000 Incremento de la exigencia por riesgo de crédito por exceso en Grandes
Exposiciones al Riesgo de Crédito. Información fuera de término
83700000 Incremento de la exigencia por riesgo de crédito por exceso en Grandes
Exposiciones al Riesgo de Crédito. Incumplimientos reiterados
83800000 Incremento de la exigencia por riesgo de crédito por exceso en Grandes
Exposiciones al Riesgo de Crédito. Determinado por la SEFyC
84300000 Incremento de la exigencia por riesgo de crédito por exceso en gradua-
ción del crédito. Información en término
84400000 Incremento de la exigencia por riesgo de crédito por exceso en gradua-
ción del crédito. Información fuera de término
84500000 Incremento de la exigencia por riesgo de crédito por exceso en gradua-
ción del crédito. Incumplimientos reiterados.
84600000 Incremento de la exigencia por riesgo de crédito por exceso en gradua-
ción del crédito. Determinado por la SEFyC.
85600000 Incremento de la exigencia por riesgo de crédito por la tenencia de certifi-
cados o títulos de deuda de fideicomisos financieros. (25 %)
85700000 Incremento de la exigencia por riesgo de crédito por la tenencia de certifi-
cados o títulos de deuda de fideicomisos financieros. (50 %)
85800000 Incremento de la exigencia por riesgo de crédito por la tenencia de certifi-
cados o títulos de deuda de fideicomisos financieros. (100 %)
Incremento de la exigencia por riesgo de crédito por excesos en las parti-
86300000
cipaciones en el capital de empresas (INC )
(Inversiones significativas en empresas)
87100000 Incremento de la exigencia por riesgo de crédito por exceso en financia-
miento al sector público no financiero. Información en término
87200000 Incremento de la exigencia por riesgo de crédito por exceso en financia-
miento al sector público no financiero. Información fuera de término
87300000 Incremento de la exigencia por riesgo de crédito por exceso en financia-
miento al sector público no financiero. Incumplimientos reiterados
87400000 Incremento de la exigencia por riesgo de crédito por exceso en financia-
miento al sector público no financiero. Determinado por la SEFyC
87500000 Incremento de la exigencia por riesgo de crédito por exceso en posicio-
nes de derivados sobre “commodities”. Información en término
87600000 Incremento de la exigencia por riesgo de crédito por exceso en posicio-
nes de derivados sobre “commodities”. Información fuera de término
87700000 Incremento de la exigencia por riesgo de crédito por exceso en posicio-
nes de derivados sobre “commodities”. Incumplimientos reiterados
87800000 Incremento de la exigencia por riesgo de crédito por exceso en posicio-
nes de derivados sobre “commodities”. Determinado por la SEFyC

[9.2.2] Información adicional
Código Concepto Importe
98100000 Incumplimientos de Activos Inmovilizados del mes bajo informe
98200000 Incumplimientos de Grandes Exposiciones al Riesgo de Crédito del
mes bajo informe
98400000 Incumplimientos de Graduación del crédito del mes bajo informe
98500000 Incumplimientos de financiamiento al sector público no financiero del
mes bajo informe
98600000 Incumplimientos de posiciones de derivados sobre “commodities” del
mes bajo informe",,
4,EV2F-022,cap,"¿Qué entidades están obligadas a definir responsables por la administración del riesgo de las posiciones sujetas a exigencia por riesgo de mercado, y qué implica esa designación?",cap:6.11,Debe indicar el umbral de activos: posiciones que en conjunto superen el 25 % de la RPC del último día del segundo mes anterior (además de quienes operan opciones). | Debe indicar que se designan personas a cargo de la correcta aplicación de la metodología de cálculo. | Debe mencionar la responsabilidad de regularizar los defectos de integración diaria que superen el 3 % de la exigencia. | Debe indicar que las modificaciones de la nómina de responsables se comunican a la Superintendencia.,"[6.11] Responsabilidades.
Las entidades financieras que operen comprando y/o vendiendo, cualquiera sea su impor-
te, contratos de opciones y aquéllas que en cualquiera de los días de un mes registren ac-
tivos (suma de las posiciones compradas y vendidas de los activos comprendidos) que en
con-junto superen el 25 % de la RPC registrada al último día del segundo mes anterior de-
berán definir las responsabilidades en el manejo de la política de administración del riesgo
que se asume por las posiciones sujetas a la exigencia de capital mínimo por riesgo de
mercado.
Ello implicará designar las personas que tendrán a su cargo la correcta aplicación de la me-
todología de cálculo establecida y la responsabilidad primaria de la adopción de los recau-
dos necesarios para mantener las posiciones cubiertas con el capital requerido, en especial
las acciones conducentes a regularizar los defectos de integración diaria que superen el 3
% de la exigencia. También serán responsables de suministrar la información en tiempo y
forma a la SEFyC conforme al régimen informativo que se establezca en la materia.
Las modificaciones de la nómina de los responsables designados, del Gerente General y
del miembro del Directorio, Consejo de Administración o autoridad equivalente a quien se
reporte la función, oportunamente suministrada, deberán ser comunicadas a dicha Superin-
tendencia mediante la presentación del Régimen Informativo Información Institucional de
Entidades Financieras y Cambiarias.",,
5,EV2F-030,cla,Una sociedad de garantía recíproca pagó la deuda de una MiPyME en cumplimiento de la garantía que la respaldaba. ¿Qué obligación de clasificación le cabe y con qué criterios?,cla:10.3,"Debe indicar que las SGR y los fondos de garantía públicos inscriptos en los registros del BCRA deben clasificar a esas MiPyMEs. | Debe precisar que se clasifica a las MiPyMEs cuyas deudas fueron canceladas en cumplimiento de las garantías. | Debe indicar que la clasificación es en función de la mora, con los criterios de la cartera de consumo o vivienda. | Debe mencionar la aplicación de la reclasificación obligatoria.","[10.3] Sociedades de garantía recíproca y fondos de garantía de carácter público.
Las sociedades de garantía recíproca y los fondos de garantía de carácter público inscriptos
en los Registros habilitados en el BCRA deberán clasificar a las MiPyMEs cuyas deudas ha-
yan sido canceladas en cumplimiento de las garantías que respaldaban las respectivas obli-
gaciones. La clasificación se realizará en función de la mora, según los criterios aplicables pa-
ra la cartera de “consumo o vivienda” y por aplicación de las disposiciones previstas en el pun-
to 7.3. (reclasificación obligatoria).",,
6,EV2F-002,ext,"Trabajo en la mesa de cambios de un banco. Cuando la entidad opera por cuenta propia, ¿en qué casos debe confeccionar boletos de cambio a su propio nombre, con qué fecha se registran esas operaciones y qué movimientos quedan afuera del registro cambiario?",ext:5.10,"Debe indicar que corresponden boletos a nombre propio por cobros o pagos en moneda extranjera por operaciones cambiarias propias en carácter de cliente. | Debe incluir las operaciones de cambio, canje o arbitraje con el BCRA y otras entidades financieras o cambiarias del país. | Debe señalar que las operaciones propias se registran en la fecha en que producen efecto sobre la PGC. | Debe aclarar que no corresponde registro cambiario a nombre propio por movimientos en moneda extranjera en el país asociados a la operatoria de créditos y depósitos.","[5.10] Operaciones propias de las entidades.

[5.10.1] Las entidades deberán confeccionar boletos de cambio a nombre propio cuando las
mismas correspondan a:

[5.10.1.1] Cobros o pagos en moneda extranjera por operaciones cambiarias propias
en carácter de cliente.

[5.10.1.2] Operaciones de cambio, canje o arbitraje con el BCRA y otras entidades
financieras o cambiarias del país.

[5.10.2] Las operaciones propias de la entidad deberán registrarse en la fecha en que se
produce el efecto sobre su PGC.

[5.10.3] No corresponderá realizar registro cambiario a nombre de la propia entidad por
movimientos en moneda extranjera en el país asociados a su operatoria de créditos y
depósitos.

[5.10.4] Cuando una operación propia de la entidad se encuentre alcanzada por la obligación
de ingreso y liquidación de divisas en el mercado de cambios, se considerará
cumplido lo requerido con el ingreso de los fondos a la PGC de la entidad.",,
7,EV2F-020,cap,"¿Qué exige la normativa de capitales mínimos a las entidades del grupo 1 en materia de debida diligencia sobre sus contrapartes, y a qué exposiciones no se aplica?",cap:2.4,Debe indicar la oportunidad y frecuencia: al otorgamiento del crédito y con frecuencia mínima anual. | Debe indicar el objetivo: una adecuada comprensión del perfil de riesgo y las características de las contrapartes. | Debe señalar la proporcionalidad respecto de la dimensión de la entidad y la complejidad de sus operaciones. | Debe indicar que la entidad demuestra a la SEFYC que los ponderadores asignados son adecuados a los perfiles de riesgo. | Debe aclarar que el requerimiento no se aplica a exposiciones a gobiernos y bancos centrales.,"[2.4] Requisitos de debida diligencia.
Las entidades financieras del grupo 1 deberán llevar a cabo un proceso de debida diligencia –al
momento del otorgamiento del crédito y con frecuencia mínima anual– a fin de que puedan con-
tar con una adecuada comprensión del perfil de riesgo y las características de sus contrapartes.
El grado de sofisticación de las evaluaciones de debida diligencia deberá ser proporcional a la
dimensión e importancia económica de las entidades financieras y a la naturaleza y complejidad
de sus operaciones. Como resultado de esa evaluación, las entidades financieras deberán de-
mostrar a la SEFYC que los ponderadores de riesgo asignados son adecuados a los perfiles de
riesgo de sus contrapartes.
A tales efectos, las entidades financieras del grupo 1 deberán:
i) adoptar medidas adecuadas y razonables con el fin de evaluar el desempeño financiero y
operativo de cada contraparte a través del análisis crediticio;
ii) contar con acceso a información sobre sus contrapartes de manera regular para completar
su análisis;
iii) llevar a cabo los análisis de las exposiciones a contrapartes que pertenezcan a grupos
consolidados –siempre que sea posible– a nivel individual. Al momento de evaluar la capa-
cidad de pago de la contraparte individual, las entidades financieras deberán tener en
cuenta el respaldo del grupo económico, así como la posibilidad de que la contraparte se
vea perjudicada por los problemas generados en el grupo económico;
iv) contar con políticas, procesos, sistemas y controles internos eficaces; y
v) poder demostrar a la SEFYC que sus análisis de debida diligencia son adecuados y consis-
tentes con otros modelos y evaluaciones que deban ser llevados a cabo por las entidades
–tales como los procesos de estimación de previsiones por riesgo de incobrabilidad y de
evaluación de su capital económico–, así como con los criterios contemplados en las nor-
mas complementarias –entre otras, Secciones 1. y 2. del TO sobre Lineamientos para la
Gestión de Riesgos en las Entidades Financieras–.
Este requerimiento no será de aplicación para el caso de exposiciones a gobiernos y bancos
centrales previstas en el punto 2.12.2.",,
8,EV2F-039,pro,"Un banco quiere subir una comisión, crear otra para un producto nuevo y reducir una tercera. ¿Qué debe informar al BCRA en cada caso y en qué momento?",pro:2.5,Debe indicar que las comisiones y cargos se informan mediante el régimen informativo establecido al efecto. | Debe indicar que altas y aumentos se informan previamente al BCRA y luego se notifican a los usuarios. | Debe indicar que las reducciones pueden aplicarse sin demora. | Debe indicar el plazo de 30 días corridos para informar las reducciones aplicadas.,"[2.5] Información al Banco Central de la República Argentina.
Las entidades financieras, los PSPCP, las empresas no financieras emisoras de tarjetas de
crédito y/o compra y los otros proveedores no financieros de crédito que ofrezcan y comerciali-
cen productos y/o servicios que se perfeccionan con la firma o aceptación de contratos con
cláusulas preestablecidas (contratos de adhesión), deberán informar las comisiones y cargos
que cobren a los usuarios de servicios financieros mediante el régimen informativo establecido
al efecto.
Las altas –comisiones de nuevos productos y/o servicios que deseen comercializar– y los au-
mentos en las comisiones que deseen implementar deberán ser previamente informados al
BCRA por la vía consignada en el párrafo precedente y luego ser notificadas a los usuarios de
servicios financieros. También deberán informar las modificaciones de los cargos.
Las reducciones en las comisiones y/o cargos podrán aplicarse sin demora, sin perjuicio de que
deberán ser informadas al BCRA dentro de los treinta (30) días corridos siguientes de su apli-
cación.",,
9,EV2F-008,ext,Una entidad de cobertura médica debe pagar al exterior medicamentos que ingresaron al país por Solicitud Particular a nombre del paciente beneficiario. ¿Puede acceder al mercado de cambios para ese pago?,ext:10.6.2,Debe indicar que las personas jurídicas a cargo de la provisión de medicamentos tienen acceso para pagar los medicamentos ingresados por Solicitud Particular por el beneficiario. | Debe indicar que también hay acceso para pagos con registro de ingreso aduanero pendiente por medicamentos que ingresará el beneficiario. | Debe condicionar el acceso al cumplimiento de los requisitos generales previstos.,"[10.6.2] Personas jurídicas que tengan a su cargo la provisión de medicamentos a pacientes.
En la medida que se cumplan los requisitos generales previstos, las personas
jurídicas que tengan a su cargo la provisión de medicamentos a pacientes tendrán
acceso al mercado de cambios para realizar el pago al exterior de los medicamentos
ingresados por Solicitud Particular por el beneficiario de dicha cobertura médica.
De igual forma tendrán acceso para realizar pagos con registro de ingreso aduanero
pendiente por los medicamentos que serán ingresados por el beneficiario de la
cobertura.",,
10,EV2F-015,ext,Un inversor no residente quiere repatriar una inversión directa en una empresa argentina. ¿Requiere conformidad previa del BCRA y qué excepciones contempla la norma?,ext:3.13.1,"Debe indicar la regla general: la repatriación de inversiones de no residentes requiere conformidad previa del BCRA. | Debe mencionar la excepción para organismos internacionales e instituciones que cumplen funciones de agencias oficiales de crédito. | Debe mencionar la excepción para representaciones diplomáticas y personal diplomático acreditado. | Debe mencionar la excepción para repatriaciones de aportes liquidados desde el 02/10/20, con el plazo mínimo de 180 días corridos para aportes liquidados a partir del 21/04/25.","[3.13.1] El acceso al mercado de cambios para la repatriación de inversiones de no
residentes y otras compras de moneda extranjera por parte de clientes no residentes
requerirá la conformidad previa del BCRA, excepto para las operaciones de:

[3.13.1.1] Organismos internacionales e instituciones que cumplan funciones de
agencias oficiales de crédito.

[3.13.1.2] Representaciones diplomáticas y consulares y personal diplomático
acreditado en el país por transferencias que efectúen en ejercicio de sus
funciones.

[3.13.1.3] Representaciones en el país de Tribunales, Autoridades u Oficinas,
Misiones Especiales, Comisiones u Órganos Bilaterales establecidos por
Tratados o Convenios Internacionales, en los cuales la República
Argentina es parte, en la medida que las transferencias se realicen en
ejercicio de sus funciones.

[3.13.1.4] Transferencias al exterior a nombre de personas humanas que sean
beneficiarias de jubilaciones y/o pensiones abonadas por la
Administración Nacional de la Seguridad Social (ANSES) u otros
organismos previsionales y/o de rentas vitalicias previsionales previstas
por el art. 101 de la Ley 24.241, por hasta el monto percibido por tales
conceptos en los últimos 30 (treinta) días corridos y en la medida que la
transferencia se efectúe a una cuenta bancaria de titularidad del
beneficiario en su país de residencia registrado.

[3.13.1.5] Compra de billetes en moneda extranjera de personas humanas no
residentes en concepto de turismo y viajes por hasta un monto máximo
equivalente a USD 100 (dólares estadounidenses cien) en el conjunto de
las entidades, en la medida que la entidad haya verificado en el sistema
online implementado por el BCRA que el cliente ha liquidado un monto
mayor o igual al que desea adquirir dentro de los 90 (noventa) días
corridos anteriores.
Esta operatoria quedará habilitada a partir de que la venta de moneda
extranjera liquidada por el cliente haya sido registrada ante el BCRA por
la entidad interviniente de acuerdo con las pautas habituales.
Las liquidaciones encuadradas, durante su vigencia, en la operatoria con
títulos valores por cuenta y orden de turistas no residentes no serán
tomadas en cuenta a los efectos de lo establecido en este punto.

[3.13.1.6] Transferencias a cuentas bancarias en el exterior de personas humanas
por los fondos que percibieron en el país asociados a los beneficios
otorgados por el Estado Nacional en el marco de las Leyes 24.043,
24.411 y 25.914 y concordantes.

[3.13.1.7] Repatriaciones de inversiones directas de no residentes en empresas que
no sean controlantes de entidades financieras locales de un aporte de
capital que haya sido ingresado y liquidado por el mercado de cambios a
partir del 02/10/20 en la medida que:
i) la repatriación tenga lugar como mínimo 180 (ciento ochenta) días
corridos después de la liquidación de los fondos del aporte si el
aporte fue ingresado y liquidado a partir del 21/04/25; o
ii) la repatriación tenga lugar como mínimo 2 (dos) años después de su
liquidación si el aporte fue ingresado y liquidado entre el 02/10/20 y el
20/04/25.

[3.13.1.8] Repatriaciones de inversiones directas de no residentes hasta el monto
de los aportes de inversión ingresados y liquidados por el mercado de
cambios a partir del 16/11/20 en la medida que se cumplan la totalidad de
las siguientes condiciones:
i) el destino de los fondos haya sido la financiación de proyectos
enmarcados en el “Plan de promoción de la producción del gas
natural argentino – Esquema de oferta y demanda 2020-2024”
establecido el artículo 2° del Decreto 892/20;
ii) la entidad cuente con documentación que acredite el efectivo ingreso
de la inversión directa en la empresa residente; y
iii) el acceso se produce no antes de los 2 (dos) años corridos desde la
fecha de liquidación en el mercado de cambios de la operación que
permite el encuadre en el presente punto.

[3.13.1.9] Repatriaciones de inversiones directas de no residentes en empresas que
no sean controlantes de entidades financieras locales, en la medida que
cuente con una “Certificación por los regímenes de acceso a divisas para
la producción incremental de petróleo y/o gas natural (Decreto 277/22)”,
emitida en el marco de lo dispuesto en el punto 3.17., por el equivalente
del monto a repatriar.

[3.13.1.10] Repatriaciones de inversiones directas de no residentes en empresas a
través del acceso del residente que adquirió su participación en el capital
en una empresa residente en la medida que:
i) el acceso se concrete en forma simultánea con la liquidación de
fondos ingresados desde el exterior por endeudamientos financieros
comprendidos en el punto 3.5. o fondos provenientes de un préstamo
financiero en moneda extranjera otorgada por una entidad financiera
local a partir de una línea de crédito de entidad financiera del exterior,
que tengan una vida promedio no inferior a 4 (cuatro) años y que
contemplen como mínimo 3 (tres) años de gracia para el pago de
capital;
ii) la empresa residente cuyo capital se transfiere quede comprendida
entre los siguientes sectores: la forestoindustria, el turismo, la
infraestructura, la minería, la tecnología, la siderurgia, la energía, el
petróleo y el gas; y
iii)la operación implique la transferencia de, como mínimo, el 10% (diez
por ciento) del capital de la empresa residente.
En caso de que al momento de concretarse el acceso el cliente no cuente
con la documentación que demuestre que ha tomado posesión de la
participación en el capital que se abona, deberá realizar una declaración
jurada en la que se compromete a presentarla dentro de los 60 (sesenta)
días corridos de concretado el acceso al mercado de cambios.

[3.13.1.11] Repatriaciones de aportes de inversión directa de no residentes en una
Vehículo de Proyecto Único (VPU) adherido al Régimen de Incentivo para
Grandes Inversiones (RIGI) encuadradas en el punto 14.2.3.

[3.13.1.12] Repatriación por parte de no residentes de servicios de capital, rentas y el
producido de las ventas de inversiones de portafolio en instrumentos con
cotizaciones en mercados locales autorizados por la Comisión Nacional
de Valores, fondos comunes de inversión sin cotización directa
conformados por esos instrumentos y/o los depósitos a la vista o a plazo
en entidades financieras locales, siempre que:
i) se cuente con la certificación de una entidad financiera local que
acredite que la inversión fue constituida con fondos ingresados y
liquidados en el mercado local de cambios a partir del 21/04/25.
El requisito de liquidación se considerará cumplimentado cuando el
cliente no residente haya aplicado moneda extranjera en forma
directa a partir del 23/05/25 a la suscripción primaria de títulos de
deuda emitidos por el Tesoro Nacional.
ii) se cuente con la documentación que demuestre que el monto por el
cual se accede al mercado no supera los servicios cobrados y/o el
monto efectivamente recibido por la venta de la inversión realizada.
En el caso que el cobro de los servicios o venta de la inversión sea
percibido en moneda extranjera la repatriación podrá concretarse por
hasta el equivalente de ese monto.

[3.13.1.13] Repatriaciones de inversiones de portafolio de no residentes originadas
en utilidades y dividendos cobrados en el país desde el 01/09/19, a partir
de la distribución determinada por la asamblea de accionistas por
balances cerrados y auditados, en la medida que la operación se concrete
mediante la realización de un canje y/o arbitraje con fondos depositados
en una cuenta local y originados en cobros en moneda extranjera de
capital o intereses de los bonos BOPREAL.

[3.13.1] (cierre)
Si una repatriación de una inversión directa de no residentes consiste en una
reducción de capital y/o devolución de aportes irrevocables realizadas por la empresa
local, adicionalmente a los requisitos previstos en cada caso, la entidad deberá contar
con la documentación que demuestre que se han cumplimentado los mecanismos
legales previstos y haber verificado que se encuentra declarada, en caso de
corresponder, en la última presentación vencida del “Relevamiento de activos y
pasivos externos” el pasivo en pesos con el exterior generado a partir de la fecha de
la no aceptación del aporte irrevocable o de la reducción de capital según
corresponda.",,
